SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-3,3.34293E-05,0.332089943,1.41449,1.342008
F1-3,0.000184259,0.317898598,0.3570557,0.6742532
F1-3,0.000201222,0.229463819,0.453186,0.7596146
F1-3,0.000116324,0.341444165,0.6317139,0.8968406
F1-3,0.000156587,0.205317919,0.7278442,0.962663
F1-3,-0.000107852,0.413505002,0.2609253,0.5763856
F1-3,1.65979E-05,0.538661832,0.4669189,0.7710381
F1-3,8.00501E-05,0.1783952,0.6454468,0.9065365
F1-3,0.000127241,0.334242529,0.2059937,0.512132
F1-3,0.000208116,0.275474353,1.373291,1.322319
F1-3,2.52421E-06,0.211279717,1.002502,1.12979
F1-3,0.000250588,0.150067369,1.029968,1.145162
F1-3,-1.77401E-05,0.386512565,1.318359,1.295603
F1-3,0.000341253,0.211397808,0.7003784,0.9443249
F1-3,0.000248366,0.302697625,0.920105,1.082365
F1-3,0.000370824,0.197248801,0.302124,0.6202227
F1-3,0.000301738,0.311194696,0.151062,0.4385637
F1-3,0.000414576,0.178232727,0.2471924,0.5610126
F1-3,0.00021152,0.330632732,2.114868,1.640955
F1-3,0.000273601,0.193540377,1.318359,1.295603
F1-3,-6.37318E-05,0.20936511,0.4806519,0.7822946
F1-3,0.000181025,0.222007122,1.524353,1.39315
F1-3,-7.78456E-05,0.269530847,0.3707886,0.6870973
F1-3,-2.44212E-05,0.165209026,1.455688,1.361411
F1-3,0.000349545,0.314112756,0.5767822,0.8569608
F1-3,0.000581068,0.149797547,0.4257202,0.7362362
F1-3,6.81106E-05,0.32784923,2.49939,1.783906
F1-3,-4.09375E-05,0.312630385,0.9613037,1.106332
